Winner: black
Win side: black
Text: Red loses the game. Black wins!
History:
(9, 6, 7, 8, 0)
(0, 1, 2, 2, 0)
(7, 7, 3, 7, 0)
(2, 7, 9, 7, 4)
(7, 8, 9, 6, 0)
(9, 7, 6, 7, 0)
(9, 8, 9, 7, 0)
(6, 7, 6, 4, 1)
(9, 0, 7, 0, 0)
(2, 1, 9, 1, 4)
(7, 1, 1, 1, 0)
(0, 0, 0, 1, 0)
(1, 1, 4, 1, 0)
(0, 1, 4, 1, 5)
(3, 7, 2, 7, 0)
(0, 8, 2, 8, 0)
(7, 0, 7, 5, 0)
(6, 4, 6, 0, 1)
(9, 7, 7, 7, 0)
(4, 1, 4, 4, 0)
(9, 6, 7, 4, 0)
(9, 1, 7, 1, 0)
(7, 7, 3, 7, 0)
(7, 1, 7, 5, 6)
(6, 8, 5, 8, 0)
(6, 0, 9, 0, 0)
(2, 7, 2, 6, 0)
(0, 7, 2, 6, 5)
(3, 7, 2, 7, 0)
(2, 8, 2, 7, 6)
(6, 2, 5, 2, 0)
(2, 7, 9, 7, 0)
(6, 6, 5, 6, 0)
(4, 4, 7, 4, 3)
