Winner: black
Win side: black
Text: Red loses the game. Black wins!
History:
(7, 1, 4, 1, 0)
(2, 7, 9, 7, 4)
(6, 2, 5, 2, 0)
(2, 1, 9, 1, 4)
(7, 7, 7, 3, 0)
(9, 1, 9, 3, 2)
(7, 3, 2, 3, 0)
(9, 3, 9, 0, 6)
(9, 4, 8, 4, 0)
(9, 7, 9, 5, 2)
(4, 1, 4, 5, 0)
(9, 5, 9, 8, 6)
(2, 3, 2, 7, 0)
(9, 8, 9, 2, 3)
(2, 7, 5, 7, 0)
(9, 0, 9, 6, 3)
(4, 5, 4, 8, 0)
(3, 8, 4, 8, 5)
(5, 7, 3, 7, 0)
(3, 6, 4, 6, 0)
(8, 4, 8, 5, 0)
(0, 0, 1, 0, 0)
(3, 7, 7, 7, 0)
(1, 0, 1, 5, 0)
(7, 7, 7, 5, 0)
(0, 5, 1, 4, 0)
(6, 6, 5, 6, 0)
(4, 6, 5, 6, 1)
(8, 5, 8, 4, 0)
(1, 5, 7, 5, 5)
(6, 4, 5, 4, 0)
(7, 5, 6, 5, 0)
(6, 0, 5, 0, 0)
(6, 5, 6, 4, 0)
(8, 4, 8, 3, 0)
(6, 4, 5, 4, 1)
(8, 3, 9, 3, 0)
(5, 4, 5, 2, 1)
(6, 8, 5, 8, 0)
(4, 8, 5, 8, 1)
(9, 3, 9, 4, 0)
(5, 2, 5, 0, 1)
(9, 4, 9, 5, 0)
(5, 0, 5, 4, 0)
(9, 5, 8, 5, 0)
(5, 6, 6, 6, 0)
(8, 5, 7, 5, 0)
(5, 4, 8, 4, 0)
