Winner: red
Win side: red
Text: Black loses the game. Red wins!
History:
(9, 1, 7, 2, 0)
(0, 7, 2, 8, 0)
(7, 7, 7, 8, 0)
(2, 7, 2, 4, 0)
(7, 1, 0, 1, -4)
(3, 4, 4, 4, 0)
(7, 8, 3, 8, -1)
(2, 4, 6, 4, 1)
(3, 8, 0, 8, -6)
(2, 1, 2, 4, 0)
(0, 1, 2, 1, 0)
(4, 4, 5, 4, 0)
(2, 1, 2, 8, -4)
(6, 4, 6, 8, 1)
(9, 2, 7, 4, 0)
(0, 0, 0, 1, 0)
(9, 8, 6, 8, -5)
(0, 1, 0, 0, 0)
(2, 8, 3, 8, 0)
(0, 4, 1, 4, 0)
(0, 8, 0, 5, -2)
(2, 4, 2, 6, 0)
(6, 8, 5, 8, 0)
(3, 2, 4, 2, 0)
(5, 8, 5, 4, -1)
(0, 6, 2, 4, 0)
(3, 8, 0, 8, 0)
(4, 2, 5, 2, 0)
(0, 8, 0, 3, -2)
(2, 6, 2, 7, 0)
(0, 3, 0, 0, -6)
(2, 7, 2, 5, 0)
(7, 4, 5, 2, -1)
(0, 2, 2, 0, 0)
(5, 4, 2, 4, -3)
(1, 4, 1, 3, 0)
(2, 4, 2, 5, -5)
(3, 6, 4, 6, 0)
(2, 5, 2, 0, -3)
(1, 3, 0, 3, 0)
(2, 0, 2, 3, 0)
