Winner: red
Win side: red
Text: Black loses the game. Red wins!
History:
(9, 1, 7, 2, 0)
(0, 7, 2, 8, 0)
(7, 7, 7, 8, 0)
(2, 7, 7, 7, 0)
(7, 1, 7, 7, -5)
(2, 1, 2, 3, 0)
(9, 0, 9, 1, 0)
(2, 3, 8, 3, 0)
(9, 8, 8, 8, 0)
(2, 8, 1, 6, 0)
(8, 8, 8, 3, -5)
(0, 8, 2, 8, 0)
(8, 3, 1, 3, 0)
(1, 6, 3, 7, 0)
(9, 1, 1, 1, 0)
(2, 8, 2, 3, 0)
(1, 3, 2, 3, -6)
(3, 2, 4, 2, 0)
(2, 3, 2, 7, 0)
(0, 3, 1, 4, 0)
(2, 7, 3, 7, -4)
(3, 6, 4, 6, 0)
(3, 7, 3, 4, -1)
(0, 6, 2, 4, 0)
(7, 7, 0, 7, 0)
(2, 4, 0, 6, 0)
(7, 8, 3, 8, -1)
(4, 2, 5, 2, 0)
(6, 2, 5, 2, -1)
(0, 0, 2, 0, 0)
(3, 4, 1, 4, -2)
(0, 4, 0, 3, 0)
(1, 1, 1, 3, 0)
