Winner: red
Win side: red
Text: Black loses the game. Red wins!
History:
(9, 1, 7, 2, 0)
(2, 7, 2, 5, 0)
(7, 7, 7, 5, 0)
(3, 0, 4, 0, 0)
(7, 1, 0, 1, -4)
(0, 0, 1, 0, 0)
(9, 0, 9, 1, 0)
(2, 1, 3, 1, 0)
(9, 1, 3, 1, -5)
(2, 5, 2, 2, 0)
(3, 1, 3, 2, -1)
(2, 2, 2, 0, 0)
(3, 2, 3, 4, -1)
(2, 0, 2, 4, 0)
(9, 8, 8, 8, 0)
(0, 8, 1, 8, 0)
(8, 8, 8, 7, 0)
(0, 4, 1, 4, 0)
(8, 7, 0, 7, -4)
(1, 0, 1, 3, 0)
(9, 5, 8, 4, 0)
(1, 4, 1, 5, 0)
(3, 4, 2, 4, -5)
(0, 5, 1, 4, 0)
(2, 4, 4, 4, 0)
(1, 3, 9, 3, 2)
(8, 4, 9, 3, -6)
(1, 4, 2, 3, 0)
(0, 7, 0, 6, -3)
(1, 5, 2, 5, 0)
(0, 6, 0, 5, 0)
(1, 8, 1, 5, 0)
(4, 4, 4, 5, 0)
(2, 5, 2, 4, 0)
(7, 5, 7, 4, 0)
