Winner: red
Win side: red
Text: Black loses the game. Red wins!
History:
(9, 1, 7, 2, 0)
(2, 7, 1, 7, 0)
(9, 7, 7, 6, 0)
(1, 7, 1, 5, 0)
(7, 1, 3, 1, 0)
(2, 1, 2, 5, 0)
(3, 1, 3, 4, -1)
(2, 5, 4, 5, 0)
(3, 4, 3, 5, 0)
(0, 2, 2, 4, 0)
(9, 0, 9, 1, 0)
(1, 5, 1, 1, 0)
(3, 5, 3, 4, 0)
(2, 4, 0, 2, 0)
(9, 1, 1, 1, -5)
(4, 5, 8, 5, 0)
(9, 8, 8, 8, 0)
(8, 5, 1, 5, 0)
(8, 8, 8, 3, 0)
(1, 5, 1, 6, 0)
(1, 1, 1, 6, -5)
(3, 0, 4, 0, 0)
(1, 6, 0, 6, -3)
(0, 1, 2, 0, 0)
(6, 2, 5, 2, 0)
(0, 7, 2, 6, 0)
(0, 6, 0, 8, -6)
(2, 6, 1, 8, 0)
(0, 8, 1, 8, -4)
(2, 0, 0, 1, 0)
(7, 7, 0, 7, 0)
